# count	conf	archetype	colorL	name
46059	high	base-pale	1.8	American - Pale 2-Row
26061	high	maris-otter	3.7	United Kingdom - Maris Otter Pale
23952	high	flaked-oats	2.2	Flaked Oats
17181	high	pilsner	1.6	German - Pilsner
14165	high	dextrine	1.8	American - Carapils (Dextrine Malt)
12263	high	crystal-medium	60	American - Caramel / Crystal 60L
12115	high	pilsner	1.8	American - Pilsner
10840	high	crystal-medium	40	American - Caramel / Crystal 40L
10821	high	chocolate-malt	350	American - Chocolate
9303	high	wheat-malt	2.8	American - White Wheat
9218	high	flaked-wheat	2	Flaked Wheat
9047	high	acidulated	3.4	German - Acidulated Malt
8985	high	munich-light	6	German - Munich Light
8946	high	vienna	4	German - Vienna
8385	high	pilsner	1.6	Belgian - Pilsner
8374	high	munich-light	10	American - Munich - Light 10L
7933	high	wheat-malt	2	German - Wheat Malt
7678	high	sugar	0.5	Corn Sugar - Dextrose
7480	high	base-pale	3.5	American - Pale Ale
7401	high	extract	4	Dry Malt Extract - Light
7355	high	vienna	4	American - Vienna
7228	high	roasted-barley	300	American - Roasted Barley
7205	high	wheat-malt	1.8	American - Wheat
6954	high	base-pale	2.3	German - Pale Ale
6744	high	dextrine	1.3	German - Carapils
6741	high	crystal-dark	120	American - Caramel / Crystal 120L
6311	high	sugar	0	Cane Sugar
6134	high	crystal-light	20	American - Caramel / Crystal 20L
6129	high	special-b	115	Belgian - Special B
6082	high	flaked-barley	2.2	Flaked Barley
5760	high	honey-malt	25	Canadian - Honey Malt
5562	high	melanoidin	25	German - Melanoidin
5424	high	chocolate-malt	424.8	United Kingdom - Chocolate
5351	high	extract	4	Liquid Malt Extract - Light
5330	high	biscuit-malt	23	Belgian - Biscuit
5294	high	maris-otter	3	United Kingdom - Golden Promise
5192	high	victory-amber	28	American - Victory
5158	high	honey-sugar	2	Honey
4738	high	lactose	1	Lactose (Milk Sugar)
4659	high	crystal-light	10	American - Caramel / Crystal 10L
4594	high	flaked-corn	0.5	Flaked Corn
4422	high	lauter	0	Rice Hulls
4168	high	crystal-dark	80	American - Caramel / Crystal 80L
4065	high	roasted-barley	549.8	United Kingdom - Roasted Barley
4041	high	base-pale	2.5	United Kingdom - Pale 2-Row
3747	high	rye-malt	3.5	American - Rye
3695	high	base-pale	1.8	Canadian - Pale 2-Row
3475	high	base-pale	3.4	Belgian - Pale Ale
3451	high	crystal-medium	39	German - CaraMunich I
3253	high	crystal-light	20	German - CaraRed
3252	high	black-malt	499.9	American - Black Malt
3217	high	crystal-medium	46	German - CaraMunich II
3193	high	sugar	15	Brown Sugar
3168	high	munich-light	6	Belgian - Munich
3125	high	pale-chocolate	207	United Kingdom - Pale Chocolate
3070	high	flaked-oats	2.2	Rolled Oats
3064	high	black-malt	524.8	United Kingdom - Black Patent
3016	high	crystal-light	11	German - CaraHell
2913	high	carafa-dehusked	534.6	German - Carafa III
2849	high	torrified-wheat	2	Torrified Wheat
2803	high	pilsner	1.9	German - Bohemian Pilsner
2729	high	crystal-medium	60	United Kingdom - Crystal 60L
2685	high	dextrine	1.8	German - CaraFoam
2588	high	carafa-dehusked	424.8	German - Carafa II
2431	high	aromatic	38	Belgian - Aromatic
2423	high	wheat-malt	1.8	Belgian - Wheat
2382	high	extract	2	Dry Malt Extract - Pilsen
2374	high	aromatic	20	American - Aromatic Malt
2320	high	munich-dark	15.5	German - Munich Dark
2285	high	crystal-medium	57	German - CaraMunich III
2218	high	extract	2.5	Dry Malt Extract - Extra Light
2209	high	crystal-medium	50	Belgian - CaraMunich
2189	medium	brown-malt	65	United Kingdom - Brown
2134	high	crystal-dark	129.9	German - CaraAroma
2107	high	extract	3	Dry Malt Extract - Wheat
2061	high	munich-light	6	United Kingdom - Munich
2024	high	wheat-malt	2	United Kingdom - Wheat
1989	high	extract	10	Liquid Malt Extract - Amber
1965	high	crystal-light	17.5	United Kingdom - Cara Malt
1954	high	extract	10	Dry Malt Extract - Amber
1932	high	wheat-malt	1.5	German - Pale Wheat
1918	high	extract	2	Liquid Malt Extract - Pilsen
1867	high	wheat-malt	2.5	American - Red Wheat
1865	high	crystal-light	15	American - Caramel / Crystal 15L
