# count	conf	canonical	raw
57696	high	Cascade	Cascade
56524	high	Citra	Citra
34312	high	Centennial	Centennial
34186	high	Amarillo	Amarillo
31858	high	Mosaic	Mosaic
29427	high	Simcoe	Simcoe
20907	high	Saaz	Saaz
20641	high	Chinook	Chinook
19696	high	East Kent Goldings	East Kent Goldings
19574	high	Columbus	Columbus
16920	high	Magnum	Magnum
14337	high	Galaxy	Galaxy
14119	low	Fuggle	Fuggles
11937	high	Willamette	Willamette
10079	high	Hallertau Mittelfrüh	Hallertau Mittelfruh
9223	high	Northern Brewer (German)	Northern Brewer
8386	high	Tettnanger	Tettnanger
7964	high	El Dorado	El Dorado
7119	high	Nelson Sauvin	Nelson Sauvin
6403	high	Perle	Perle
6349	high	Nugget	Nugget
6307	high	Styrian Goldings	Styrian Goldings
6237	medium	Hersbrucker	Hallertau Hersbrucker
5885	high	Warrior	Warrior
5166	high	Azacca	Azacca
5023	high	Hallertau Mittelfrüh	Domestic Hallertau
4395	high	Challenger	Challenger
4044	high	Mandarina Bavaria	Mandarina Bavaria
3844	high	Motueka	Motueka
3086	high	Summit	Summit
2932	high	Crystal	Crystal
2911	high	East Kent Goldings	Kent Goldings
2901	high	Mount Hood	Mount Hood
2884	high	Goldings	Goldings
2868	high	Sorachi Ace	Sorachi Ace
2633	high	Cluster	Cluster
2553	high	Hallertau Blanc	Hallertau Blanc
2545	high	Falconers Flight	Falconer's Flight
2540	high	Ekuanot	Ekuanot
2388	high	Galena	Galena
2349	high	Ahtanum	Ahtanum
2248	high	Target	Target
2163	high	Liberty	Liberty
2074	high	Huell Melon	Huell Melon
2015	high	Apollo	Apollo
1910	high	Lemondrop	Lemondrop
1854	high	Vic Secret	Vic Secret
1819	high	Sterling	Sterling
1545	high	CTZ (Columbus/Tomahawk/Zeus)	CTZ
1531	high	Bravo	Bravo
1529	high	Spalt	Spalt
1463	high	Calypso	Calypso
1413	high	Hersbrucker	Hersbrucker
1311	high	Bramling Cross	Bramling Cross
1309	high	Citra	citra
