# count	conf	class	subs	raw	preset
32434	high	solo:us-05	4	Fermentis - Safale - American Ale Yeast US-05	SafAle US-05
16476	low		0	(none)	
11193	high	Whitbread (S-04)	5	Fermentis - Safale - English Ale Yeast S-04	SafAle S-04
10847	none		0	- -	
7273	high	Chico (West Coast)	3	White Labs - California Ale Yeast WLP001	WLP001 California Ale Yeast
6086	high	Chico (American Ale)	4	Wyeast - American Ale 1056	1056 American Ale
4468	medium	Nottingham	1	Danstar - Nottingham Ale Yeast	LalBrew Nottingham
3399	high	London Ale III (1318)	2	Wyeast - London Ale III 1318	1318 London Ale III
3288	high	Weihenstephan 34/70	2	Fermentis - Saflager - German Lager Yeast W-34/70	SafLager W-34/70
1827	high	Fuller's (WLP002)	4	White Labs - English Ale Yeast WLP002	WLP002 English Ale Yeast
1799	high	American Ale II (1272)	3	Wyeast - American Ale II 1272	1272 American Ale II
1665	high	Dry English Ale (WLP007)	2	White Labs - Dry English Ale Yeast WLP007	WLP007 Dry English Ale Yeast
1637	high	solo:wb-06	4	Fermentis - Safbrew - Wheat Beer Yeast WB-06	SafAle WB-06
1473	high	BRY-97 (Siebel West Coast)	4	Mangrove Jack - US West Coast Yeast M44	M44 US West Coast Yeast
1391	high	Kölsch (WLP029)	1	White Labs - German Ale/ Kölsch Yeast WLP029	WLP029 German Ale/Kölsch Yeast
1368	high	S-23 (Pilsner Urquell H-Strain)	4	Fermentis - Saflager - German Lager Yeast S-23	SafLager S-23
1363	high	San Diego Super / Ballast Point (WLP090)	1	White Labs - San Diego Super Yeast WLP090	WLP090 San Diego Super Ale Yeast
1309	high	solo:t-58	1	Fermentis - Safbrew - Specialty Ale Yeast T-58	SafAle T-58
1224	high	Irish Ale (1084)	0	Wyeast - Irish Ale 1084	1084 Irish Ale
1193	high	Belle Saison / French Saison (3711)	4	Danstar - Belle Saison Yeast	B64 Napoleon
1183	high	Belle Saison / French Saison (3711)	4	Wyeast - French Saison 3711	3711 French Saison
1155	high	Irish Ale (1084)	0	White Labs - Irish Ale Yeast WLP004	WLP004 Irish Ale Yeast
1122	high	American Ale II (1272)	3	Danstar - American West Coast Yeast BRY-97	American Ale
1108	high	Fuller's (1968 ESB)	5	Wyeast - London ESB Ale 1968	1968 London ESB Ale
1060	high	Weihenstephan 3068 (WLP380)	1	Wyeast - Weihenstephan Weizen 3068	3068 Weihenstephan Weizen
1032	high	S-33 (Edme Ale)	4	Fermentis - Safbrew - General/Belgian Yeast S-33	SafAle S-33
1011	high	London Ale (1028)	2	Wyeast - London Ale 1028	1028 London Ale
954	high	solo:k-97	2	Fermentis - Safale - German Ale Yeast K-97	SafAle K-97
929	high	London Ale III (1318)	2	Imperial Yeast - A38 Juice	A38 Juice
906	high	Weihenstephan Hefe (WLP300)	3	White Labs - Hefeweizen Ale Yeast WLP300	WLP300 Hefeweizen Ale Yeast
859	high	Voss	0	Omega Yeast Labs - Voss Kveik OYL-061	OYL-061 Voss Kveik
853	high	solo:wlp051	2	White Labs - California Ale V Yeast WLP051	WLP051 California Ale V Yeast
842	high	Westmalle (WLP530)	0	White Labs - Abbey Ale Yeast WLP530	WLP530 Abbey Ale Yeast
836	high	solo:wlp013	2	White Labs - London Ale Yeast WLP013	WLP013 London Ale Yeast
824	high	Kölsch (2565)	1	Wyeast - Kölsch 2565	2565 Kölsch
805	high	British Ale I (Whitbread)	3	Wyeast - British Ale 1098	1098 British Ale
789	high	solo:wlp060	0	White Labs - American Ale Yeast Blend WLP060	WLP060 American Ale Yeast Blend
760	medium	Windsor (Whitbread B)	2	Danstar - Windsor Ale Yeast	LalBrew Windsor
754	high	German Ale / Kölsch (1007)	2	Wyeast - German Ale 1007	1007 German Ale
744	high	Scottish Ale (1728)	1	Wyeast - Scottish Ale 1728	1728 Scottish Ale
740	high	Weihenstephan 34/70 (WLP830)	3	White Labs - German Lager Yeast WLP830	WLP830 German Lager Yeast
689	high	Hoegaarden Wit (WLP400)	2	White Labs - Belgian Wit Ale Yeast WLP400	WLP400 Belgian Wit Ale Yeast
663	high	Westmalle (WLP530)	0	Wyeast - Trappist High Gravity 3787	3787 Trappist High Gravity
653	high	Verdant / London Ale III (WLP066)	1	White Labs - London Fog Ale Yeast WLP066	WLP066 London Fog Ale Yeast
650	high	solo:wlp005	2	White Labs - British Ale Yeast WLP005	WLP005 British Ale Yeast
